model_name,task_name,shot_type,"acc,none"
Qwen/Qwen3-8B,analogies_all,few-shot,0.4898680810553515
Qwen/Qwen3-8B,analogies_all,zero-shot,0.4217870257037944
Qwen/Qwen3-8B,analogies_high,few-shot,0.50875
Qwen/Qwen3-8B,analogies_high,zero-shot,0.4422916666666667
Qwen/Qwen3-8B,analogies_low,few-shot,0.387
Qwen/Qwen3-8B,analogies_low,zero-shot,0.353
Qwen/Qwen3-8B,analogies_medium,few-shot,0.449
Qwen/Qwen3-8B,analogies_medium,zero-shot,0.4013333333333333
Qwen/Qwen3-8B,analogies_mono,few-shot,0.7181818181818181
Qwen/Qwen3-8B,analogies_mono,zero-shot,0.5781818181818181
Qwen/Qwen3-8B,gloss_all,few-shot,0.7026666666666667
Qwen/Qwen3-8B,gloss_all,zero-shot,0.6013333333333334
Qwen/Qwen3-8B,gloss_high,few-shot,0.8114478114478114
Qwen/Qwen3-8B,gloss_high,zero-shot,0.7184343434343434
Qwen/Qwen3-8B,gloss_low,few-shot,0.5464646464646464
Qwen/Qwen3-8B,gloss_low,zero-shot,0.4762626262626263
Qwen/Qwen3-8B,gloss_medium,few-shot,0.7252525252525253
Qwen/Qwen3-8B,gloss_medium,zero-shot,0.6154882154882155
Qwen/Qwen3-8B,gloss_mono,few-shot,0.98816029143898
Qwen/Qwen3-8B,gloss_mono,zero-shot,0.7504553734061931
Qwen/Qwen3-8B,hypernymy_all,few-shot,0.554984360125119
Qwen/Qwen3-8B,hypernymy_all,zero-shot,0.4518155854753162
Qwen/Qwen3-8B,hypernymy_high,few-shot,0.608125
Qwen/Qwen3-8B,hypernymy_high,zero-shot,0.483125
Qwen/Qwen3-8B,hypernymy_low,few-shot,0.51
Qwen/Qwen3-8B,hypernymy_low,zero-shot,0.4385
Qwen/Qwen3-8B,hypernymy_medium,few-shot,0.61
Qwen/Qwen3-8B,hypernymy_medium,zero-shot,0.4836666666666667
Qwen/Qwen3-8B,hypernymy_mono,few-shot,0.7571297148114076
Qwen/Qwen3-8B,hypernymy_mono,zero-shot,0.4940202391904323
Qwen/Qwen3-8B,meronymy_all,few-shot,0.4254317965456276
Qwen/Qwen3-8B,meronymy_all,zero-shot,0.3359989120087039
Qwen/Qwen3-8B,meronymy_high,few-shot,0.49875
Qwen/Qwen3-8B,meronymy_high,zero-shot,0.3702083333333333
Qwen/Qwen3-8B,meronymy_low,few-shot,0.417
Qwen/Qwen3-8B,meronymy_low,zero-shot,0.3335
Qwen/Qwen3-8B,meronymy_medium,few-shot,0.449
Qwen/Qwen3-8B,meronymy_medium,zero-shot,0.4013333333333333
Qwen/Qwen3-8B,meronymy_mono,few-shot,0.7175712971481141
Qwen/Qwen3-8B,meronymy_mono,zero-shot,0.4103035878564857
google/gemma-3-1b-it,analogies_all,few-shot,0.3810689514483884
google/gemma-3-1b-it,analogies_all,zero-shot,0.3569971440228478
