bn:00015267n	dog
bn:00015258n	canine
bn:00028151n	domestic_animal
bn:00061787n	pet
bn:00076248n	taxonomic_group
bn:01209053n	Model_organism
bn:00008602n	pooch
bn:00008827n	basenji
bn:00009710n	griffon
bn:00016244n	dalmatian
bn:00022649n	corgi
bn:00024449n	cur
bn:00034966n	flag
bn:00010741n	bitch
bn:00015265n	jackal
bn:00036129n	fox
bn:00045314n	hyena
bn:00081192n	wild_dog
bn:00081469n	wolf
bn:00016143n	carnivore
bn:00053079n	mammal
bn:00061093n	paw
bn:00009342n	bear
bn:00033982n	feline
bn:00034882n	fissiped_mammal
bn:00056521n	musteline_mammal
bn:00064576n	procyonid
bn:00080161n	viverrine
bn:00004222n	animal
bn:00028153n	domestic_cat
bn:00033952n	feeder
bn:00043252n	head
bn:00074368n	stocker
bn:00074584n	stray
bn:00001050n	acrodont
bn:00001526n	adult
bn:00010588n	biped
bn:00015768n	captive
bn:00018748n	chordate
bn:00021555n	embryo
bn:00021045n	commodity
bn:04695038n	domesticated_animal
bn:00016606n	cat
bn:00141500n	Chausie
bn:00705545n	Emotional_support_animal
bn:01282445n	Pocket_pet
bn:01786982n	Chickens_as_pets
bn:00010540n	biological_group
bn:00001263n	Adapid
bn:00003339n	Amentiferae
bn:00017230n	Centrospermae
bn:00019482n	class
bn:00032896n	family
bn:00035911n	form
bn:00004232n	animal_group
bn:00019393n	clade
bn:00020719n	colony
bn:00026488n	descendants
bn:00027916n	division
bn:00037676n	generation
bn:00009677n	organism
bn:04238338n	research_object
bn:00073210n	species
bn:00259612n	Animal_disease_model
bn:00001822n	African_clawed_frog
bn:00002110n	Agrobacterium_tumefaciens
bn:00003304n	axolotl
bn:00003367n	American_chameleon
bn:00005272n	Arabidopsis_thaliana
bn:00001672n	aerobe
bn:00003636n	amphidiploid
bn:00003751n	anaerobe
bn:00004252n	animalcule
bn:00006704n	atavist
bn:00041587n	Great_Pyrenees
bn:03675257n	Dog_breed
bn:00077799n	toy_dog
bn:00965621n	Dog_type
bn:00012594n	Brabancon_griffon
bn:03965304n	Griffon_Bruxellois
bn:04112851n	Petit_brabançon
bn:15338423n	Griffon_Belge
bn:00051625n	liver-spotted_dalmatian
bn:00015959n	Cardigan
bn:00061311n	Pembroke
bn:15200753n	Mixed_breed
bn:00033975n	feist
bn:00060662n	pariah_dog
bn:00494711n	Potcake_dog
bn:01129467n	Laika
bn:03714880n	Askal
bn:00075904n	tail
bn:00011701n	bobtail
bn:00013492n	brush
bn:00016830n	caudal_appendage
bn:00035437n	fluke
bn:00059998n	oxtail
bn:00066270n	rattle
bn:00013334n	brood_bitch
bn:00015259n	Canidae
bn:00332366n	black-backed_jackal
bn:01516529n	side-striped_jackal
bn:17560556n	African_golden_wolf
bn:21706579n	golden_jackal
bn:00173982n	Caniformia
bn:00003012n	Arctic_fox
bn:00041519n	grey_fox
bn:00049245n	kit_fox
bn:00049246n	kit_fox
bn:00066666n	red_fox
bn:00066667n	red_fox
bn:24361642n	fauna
bn:00000182n	aardwolf
bn:00013408n	brown_hyena
bn:00023906n	spotted_hyena
bn:00045315n	striped_hyena
bn:00001834n	African_hunting_dog
bn:00015266n	dingo
bn:00023443n	crab-eating_dog
bn:00024409n	dhole
bn:00058371n	raccoon_dog
bn:01588907n	Street_dog
bn:00005473n	white_wolf
bn:00013505n	coyote
bn:00015268n	timber_wolf
bn:00015271n	red_wolf
bn:00081471n	wolf_pup
bn:00031965n	placental
bn:05222640n	zoophage
bn:00000181n	aardvark
bn:00004484n	pangolin
bn:00005218n	aquatic_mammal
bn:00008977n	bat
bn:00013581n	buck
bn:00013783n	bull
bn:00023542n	vertebrate
bn:04601082n	animal_anatomy
bn:00003881n	anatomy
bn:00034024n	female_mammal
bn:00036033n	fossorial_mammal
bn:00054591n	metatherian
bn:00064897n	prototherian
bn:00078713n	tusker
bn:00020186n	coat
bn:00042528n	hair
bn:00003574n	Amniota
bn:00003575n	amniote
bn:00003620n	amphibian
bn:00005220n	aquatic_vertebrate
bn:00010605n	bird
bn:00034187n	fetus
bn:00004230n	animal_foot
bn:00051217n	limb
bn:13113834n	leg
bn:00035856n	forepaw
bn:00060133n	pad
bn:00010617n	bird's_foot
bn:00035812n	forefoot
bn:00036032n	fossorial_foot
bn:00044175n	hindfoot
bn:00044685n	hoof
bn:00078421n	trotter
bn:00003360n	American_black_bear
bn:00006343n	Asiatic_black_bear
bn:00009348n	bear_cub
bn:00013401n	brown_bear
bn:00013463n	bruin
bn:00045719n	ice_bear
bn:00010309n	big_cat
bn:00016667n	lynx
bn:00016669n	European_wildcat
bn:04658152n	subfamily
bn:00007899n	badger
bn:00010837n	black-footed_ferret
bn:00015896n	wolverine
bn:00030003n	tayra
bn:00030908n	sea_otter
bn:00034895n	polecat
bn:00002174n	giant_panda
bn:00002177n	lesser_panda
bn:00008928n	bassarisk
bn:00020193n	coati
bn:00044626n	kinkajou
bn:00065797n	raccoon
bn:00019345n	civet
bn:00024203n	fossa
bn:00037694n	genet
bn:00054181n	meerkat
bn:00055668n	mongoose
bn:00015784n	head
bn:00032605n	face
bn:00004248n	animal_tissue
bn:00009970n	benthos
bn:00000537n	Abyssinian
bn:00002853n	alley_cat
bn:00004168n	Angora
bn:00014009n	Burmese_cat
bn:00014737n	tortoiseshell
bn:00029958n	Egyptian_cat
bn:00081209n	wildcat
bn:00049269n	kitten
bn:00053290n	Manx
bn:13310263n	dentition_type
bn:00023716n	creepy-crawly
bn:00004235n	animal_leg
bn:00017247n	cephalochordate
bn:00078601n	tunicate
bn:02352353n	Multicellular_organism
bn:00017027n	cell
bn:00011162n	blastula
bn:00037482n	gastrula
bn:00055959n	morula
bn:00011149n	blastocyst
bn:01072717n	neurula
bn:00078915n	umbilical_cord
bn:00005956n	artifact
bn:01601888n	Bulk_cargo
bn:15645655n	Asset_classes
bn:16831815n	perceptible_object
bn:15290634n	term
bn:00008831n	basic
bn:00022099n	consumer_goods
bn:00028959n	drygoods
bn:00031047n	entrant
bn:00032363n	export
bn:00033621n	fancy_goods
bn:00003494n	Americana
bn:00003737n	anachronism
bn:00004733n	antiquity
bn:00006122n	article
bn:00009477n	layer
bn:00011308n	block
bn:00011961n	domestic_silkworm_moth
bn:00033678n	livestock
bn:00081576n	work_animal
bn:00582617n	Service_animal
bn:00986464n	koi
bn:00033990n	tiger_cat
bn:00051107n	liger
bn:14293153n	cat_breed
bn:00065801n	subspecies
bn:01120907n	Rasy
bn:03127082n	United_States_presidential_pet
bn:03235617n	Therapy_cat
bn:00049915n	terminology
bn:00041942n	group
bn:00041580n	Great_Lakes
bn:00000777n	collection
bn:00001100n	actinoid
bn:00005862n	arrangement
bn:00006545n	association
bn:00010584n	community
bn:00064379n	primate
bn:00037780n	genus
bn:00892118n	Botanical_name
bn:00056758n	name
bn:03939442n	rank
bn:12563548n	Taxonomic_rank
bn:17198777n	rank
bn:00000947n	Acnidosporidia
bn:00001013n	Acrasiomycetes
bn:00001123n	Actinopoda
bn:00001125n	Anthozoa
bn:00002048n	Agnatha
bn:00002759n	Alismatidae
bn:00059310n	order
bn:00003621n	amphibian_family
bn:00006082n	arthropod_family
bn:00007856n	bacteria_family
bn:00010625n	bird_family
bn:00010767n	Bittacidae
bn:00018749n	chordate_family
bn:00005545n	Arenaviridae
bn:00013921n	Bunyaviridae
bn:00035133n	Flaviviridae
bn:00067143n	Reoviridae
bn:00067594n	Rhabdoviridae
bn:16479435n	Infraspecific_name
bn:00450810n	biovar
bn:06758658n	vaccine_strain
bn:14016080n	viral_strain
bn:18457727n	fagovar
bn:00548648n	Brattleboro_rat
bn:00012986n	breed
bn:00013333n	brood
bn:00016549n	caste
bn:00020035n	clowder
bn:00020723n	colony
bn:00028865n	drove
bn:00037740n	genotype
bn:00056461n	musical_organization
bn:00138019n	crown_group
bn:00004108n	angiosperm
bn:00005455n	archosaur
bn:00009524n	bee
bn:00016833n	Urodella
bn:00018077n	Chelicerata
bn:26690877n	zoarium
bn:00018618n	Chlorophyta
bn:00018956n	Chrysophyta
bn:00024693n	Cyanophyta
bn:00024816n	Cynodontia
bn:00026978n	Dicynodontia
bn:00027921n	division_Archaebacteria
bn:00007654n	baby_boom
bn:00037630n	generation_X
bn:00063790n	posterity
bn:00004257n	living_thing
bn:04066444n	natural_physical_object
bn:04855730n	creature
bn:27268968n	entity
bn:00021547n	concept
bn:00011769n	body_part
bn:00077386n	tissue
bn:00010565n	biont
bn:00051053n	life
bn:21705913n	object_(philosophy)
bn:00044268n	history
bn:02856929n	Research_participant
bn:03149861n	Unit_of_analysis
bn:22076352n	Experimental_group_(clinical_trial)
bn:00145915n	implicit_cognition
bn:00020624n	collectible
bn:00045153n	world
bn:00055427n	mock-up
bn:00058445n	object
bn:00066794n	referent
bn:01330182n	phallus
bn:00006555n	categorization
bn:00007859n	bacteria_species
bn:00030746n	endangered_species
bn:00034850n	fish_species
bn:00078806n	type_species
bn:00267294n	Umbrella_species
bn:00079601n	variety
bn:03265600n	NOD_mice
bn:14005006n	Flightless_fruit_fly
bn:14440663n	Animal_model_of_autism
bn:02956092n	Experimental_autoimmune_encephalomyelitis
bn:00007725n	Bacillus_subtilis
bn:00077573n	tongueless_frog
bn:00004795n	frog
bn:00062566n	Surinam_toad
